Manufacturer,Model,Type,Subtype,Max RPM,Power (kW),Torque (Nm),Taper,X Travel (mm),Y Travel (mm),Z Travel (mm),ATC Capacity,Controller
DMG MORI,,mill_turn_center,,,,,,,,,,31i-B5
DMG MORI,,mill_turn_center,,,,,,,,,,31i-B5
DMG MORI,,5axis_mill_turn,,,,,HSK-A63,,,,60,SINUMERIK 840D sl
DMG MORI,,5axis_mill_turn,,,,,HSK-A100,,,,120,SINUMERIK 840D sl
DMG MORI,,traveling_column_vmc,,,,,HSK-A63,,,,40,SINUMERIK 840D sl
DMG MORI,,traveling_column_vmc,,,,,HSK-A100,,,,60,SINUMERIK 840D sl
DMG MORI,,5axis_ultrasonic,,,,,HSK-E40,,,,30,SINUMERIK 840D sl
DMG MORI,,additive_slm,,,,,,,,,,SINUMERIK 840D sl
DMG MORI,,hybrid_additive_subtractive,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
Mazak,,turning_center,,,,,A2-5,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-6,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-8,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-8,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-11,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-11,,,,,MAZATROL SmoothG
Mazak,,mill_turn_center,,,,,A2-6,,,,,MAZATROL SmoothX
Mazak,,mill_turn_center,,,,,A2-8,,,,,MAZATROL SmoothX
Mazak,,mill_turn_center,,,,,A2-8,,,,,MAZATROL SmoothX
Mazak,,mill_turn_center,,,,,A2-11,,,,,MAZATROL SmoothX
Mazak,,mill_turn_center,,,,,A2-11,,,,,MAZATROL SmoothX
Mazak,,mill_turn_center,,,,,A2-15,,,,,MAZATROL SmoothX
Mazak,,vertical_mill_turn,,,,,table_rotary,,,,40,MAZATROL SmoothX
Mazak,,horizontal_mill_turn,,,,,A2-15,,,,,MAZATROL SmoothX
Okuma,,vertical_machining_center,,,,,BT40,,,,32,OSP-P300MA
Okuma,,vertical_machining_center,,,,,BT40,,,,32,OSP-P300MA
Okuma,,vertical_machining_center,,,,,CAT50,,,,32,OSP-P300MA
Okuma,,vertical_machining_center,,,,,BT40,,,,32,OSP-P300MA
Okuma,,horizontal_machining_center,,,,,BT40,,,,48,OSP-P300MA
Okuma,,horizontal_machining_center,,,,,CAT50,,,,60,OSP-P300MA
Okuma,,horizontal_machining_center,,,,,BT40,,,,40,OSP-P300MA
Okuma,,horizontal_machining_center,,,,,CAT50,,,,60,OSP-P300MA
Okuma,,5axis_machining_center,,,,,BT40,,,,32,OSP-P300MA
Okuma,,5axis_machining_center,,,,,BT40,,,,32,OSP-P300MA
Okuma,,5axis_machining_center,,,,,BT40,,,,48,OSP-P300MA
Okuma,,5axis_machining_center,,,,,CAT50,,,,80,OSP-P300MA
Okuma,,double_column_machining_center,,,,,CAT50,,,,32,OSP-P300MA
Citizen,,swiss_lathe,,,,,collet_20mm,,,,,Cincom M70
Citizen,,swiss_lathe,,,,,collet_32mm,,,,,Cincom M70
Citizen,,swiss_lathe,,,,,collet_25mm,,,,,Cincom M70
Citizen,,swiss_lathe,,,,,collet_20mm,,,,,Cincom M70
Citizen,,turning_center,,,,,collet_42mm,,,,,Mitsubishi M70V
Star,,swiss_lathe,,,,,collet_20mm,,,,,31i-B5
Star,,swiss_lathe,,,,,collet_32mm,,,,,31i-B5
Star,,swiss_lathe,,,,,collet_38mm,,,,,31i-B5
Star,,swiss_lathe,,,,,collet_20mm,,,,,31i-B5
Tsugami,,swiss_lathe,,,,,collet_8mm,,,,,31i-B5
Tsugami,,swiss_lathe,,,,,collet_20mm,,,,,31i-B5
Tsugami,,swiss_lathe,,,,,collet_25mm,,,,,31i-B5
Fadal,,vertical_machining_center,,,,,CAT40,,,,21,Fadal CNC
Fadal,,vertical_machining_center,,,,,CAT40,,,,30,Fadal CNC
Fadal,,vertical_machining_center,,,,,CAT40,,,,21,Fadal CNC
Fadal,,vertical_machining_center,,,,,CAT50,,,,30,Fadal CNC
YCM,,vertical_machining_center,,,,,BT40,,,,24,0i-MF
YCM,,vertical_machining_center,,,,,BT40,,,,24,0i-MF
YCM,,vertical_machining_center,,,,,CAT50,,,,30,0i-MF
YCM,,5axis_machining_center,,,,,BT40,,,,30,31i-B5
YCM,,horizontal_machining_center,,,,,BT40,,,,40,31i-B5
EMAG,,vertical_turning_lathe,,,,,collet,,,,,SINUMERIK 840D sl
EMAG,,vertical_turning_lathe,,,,,chuck,,,,,SINUMERIK 840D sl
EMAG,,vertical_turning_lathe,,,,,chuck,,,,,SINUMERIK 840D sl
EMAG,,vertical_turning_lathe,,,,,chuck,,,,,SINUMERIK 840D sl
Index,,turning_center,,,,,collet_65mm,,,,,SINUMERIK 840D sl
Index,,turning_center,,,,,collet_90mm,,,,,SINUMERIK 840D sl
Index,,multi_spindle_auto,,,,,collet_22mm,,,,,SINUMERIK 840D sl
Index,,turn_grind_center,,,,,collet_65mm,,,,,SINUMERIK 840D sl
Traub,,swiss_lathe,,,,,collet_32mm,,,,,TX8i-s V8
Mitsui Seiki,,5axis_jig_borer,,,,,HSK-E40,,,,20,31i-B5
Mitsui Seiki,,jig_borer,,,,,CAT50,,,,30,31i-B5
Mitsui Seiki,,horizontal_machining_center,,,,,HSK-A63,,,,60,31i-B5
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,HMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
Brother,,3AXIS_VMC,,,,,CAT40,,,,,CNC-C00
DATRON,,5AXIS_TRUNNION,,,,,CAT40,,,,10,Datron next
DATRON,,5AXIS_TRUNNION,,,,,CAT40,,,,10,Datron next
DATRON,,5AXIS_TRUNNION,,,,,CAT40,,,,10,Datron next
DATRON,,5AXIS_TRUNNION,,,,,CAT40,,,,6,Datron next
DATRON,,5AXIS_TRUNNION,,,,,CAT40,,,,,Datron next
DN Solutions,,3AXIS_VMC,,,,,CAT40,,,,30,0i-MF
DN Solutions,,3AXIS_VMC,,,,,CAT40,,,,30,0i-MF
DN Solutions,,3AXIS_VMC,,,,,CAT40,,,,30,0i-MF
DN Solutions,,3AXIS_VMC,,,,,CAT40,,,,30,0i-MF
DN Solutions,,3AXIS_VMC,,,,,CAT40,,,,30,0i-MF
Haas,,3AXIS_VMC,,,,,CAT40,,,,20,Haas NGC
Haas,,HMC,,,,,CAT50,,,,40,Haas NGC
Haas,,HMC,,,,,CAT50,,,,40,Haas NGC
Haas,,HMC,,,,,CAT50,,,,40,Haas NGC
Haas,,HMC,,,,,CAT50,,,,40,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,10,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,10,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,10,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,10,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,10,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,10,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,10,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,10,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,10,Haas NGC
Haas,,5AXIS_TRUNNION,,,,,CAT40,,,,40,Haas NGC
Haas,,5AXIS_TRUNNION,,,,,CAT40,,,,40,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,20,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT50,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT50,,,,30,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,30,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,30,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT50,,,,30,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,5AXIS_TRUNNION,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Heller,,3AXIS_VMC,,,,,CAT40,,,,50,SINUMERIK 840D sl
Heller,,3AXIS_VMC,,,,,CAT40,,,,80,SINUMERIK 840D sl
Hurco,,3AXIS_VMC,,,,,CAT40,,,,40,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,40,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,40,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,40,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,30,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,24,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,40,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,,WinMax
Hurco,,4AXIS_VMC,,,,,CAT40,,,,,WinMax
Hurco,,4AXIS_VMC,,,,,CAT40,,,,,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,20,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,20,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,24,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,24,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,30,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,20,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,10,WinMax
Kern,,3AXIS_VMC,,,,,CAT40,,,,30,TNC 640
Kern,,5AXIS_TRUNNION,,,,,CAT40,,,,30,TNC 640
Kern,,3AXIS_VMC,,,,,CAT40,,,,96,TNC 640
Kern,,3AXIS_VMC,,,,,CAT40,,,,75,TNC 640
Makino,,3AXIS_VMC,,,,,CAT40,,,,20,Professional 6
Makino,,3AXIS_VMC,,,,,CAT40,,,,60,Professional 6
Matsuura,,3AXIS_VMC,,,,,CAT40,,,,40,31i-B5
Matsuura,,3AXIS_VMC,,,,,CAT40,,,,40,31i-B5
Matsuura,,3AXIS_VMC,,,,,CAT40,,,,40,31i-B5
Matsuura,,3AXIS_VMC,,,,,CAT40,,,,90,31i-B5
Matsuura,,3AXIS_VMC,,,,,CAT40,,,,90,31i-B5
Matsuura,,3AXIS_VMC,,,,,CAT40,,,,90,31i-B5
Matsuura,,3AXIS_VMC,,,,,CAT40,,,,30,31i-B5
Matsuura,,3AXIS_VMC,,,,,CAT40,,,,30,31i-B5
Matsuura,,3AXIS_VMC,,,,,CAT40,,,,,31i-B5
Matsuura,,3AXIS_VMC,,,,,CAT40,,,,30,31i-B5
Okuma,,3AXIS_VMC,,,,,CAT40,,,,30,OSP-P300MA
Okuma,,5AXIS_TRUNNION,,,,,CAT40,,,,30,OSP-P300MA
Haas,,5AXIS_TRUNNION,,,,,CAT40,,,,40,Haas NGC
Haas,,5AXIS_TRUNNION,,,,,CAT40,,,,40,Haas NGC
Haas,,5AXIS_TRUNNION,,,,,CAT40,,,,40,Haas NGC
Haas,,5AXIS_TRUNNION,,,,,CAT40,,,,40,Haas NGC
Haas,,5AXIS_TRUNNION,,,,,CAT40,,,,40,Haas NGC
Haas,,5AXIS_TRUNNION,,,,,BT30,,,,40,Haas NGC
Haas,,DRILL_TAP,,,,,BT30,,,,18,Haas NGC
Haas,,DRILL_TAP,,,,,BT30,,,,18,Haas NGC
Haas,,GANTRY_MILL,,,,,CAT40,,,,10,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,10,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,10,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT50,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,24,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT40,,,,30,Haas NGC
Haas,,3AXIS_VMC,,,,,CAT50,,,,30,Haas NGC
Haas,,5AXIS_TRUNNION,,,,,CAT40,,,,40,Haas NGC
Haas,,5AXIS_TRUNNION,,,,,CAT40,,,,40,Haas NGC
Haas,,5AXIS_GANTRY,,,,,CAT40,,,,10,Haas NGC
Haas,,5AXIS_TABLE,,,,,CAT40,,,,24,Haas NGC
Hurco,,HMC,,,,,BT50,,,,,WinMax
Hurco,,5AXIS_SWIVEL,,,,,CAT40,,,,,WinMax
Hurco,,3AXIS_VMC,,,,,BT50,,,,,WinMax
Hurco,,5AXIS_UNIVERSAL,,,,,BT50,,,,,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,,WinMax
Hurco,,5AXIS_UNIVERSAL,,,,,CAT40,,,,,WinMax
Hurco,,5AXIS_UNIVERSAL,,,,,CAT40,,,,,WinMax
Hurco,,5AXIS_DIRECT,,,,,HSK-A63,,,,,WinMax
Hurco,,5AXIS_TRUNNION,,,,,CAT40,,,,,WinMax
Hurco,,5AXIS_SWIVEL_ROTARY,,,,,BT50,,,,,WinMax
Hurco,,5AXIS_COMPACT,,,,,CAT40,,,,,WinMax
Hurco,,3AXIS_VMC,,,,,BT50,,,,,WinMax
Hurco,,5AXIS_DIRECT,,,,,HSK-A63,,,,,WinMax
Hurco,,3AXIS_VMC,,,,,CAT40,,,,,WinMax
Hurco,,3AXIS_VMC,,,,,BT50,,,,,WinMax
Hurco,,DUAL_COLUMN,,,,,BT50,,,,,WinMax
Mazak,,3AXIS_VMC,,,,,CAT50,,,,,MAZATROL SmoothG
Mazak,,3AXIS_VMC,,,,,CAT50,,,,,MAZATROL SmoothG
Mazak,,3AXIS_VMC,,,,,CAT50,,,,,MAZATROL SmoothG
Mazak,,5AXIS_TRUNNION,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,5AXIS_TRUNNION,,,,,HSK-A63,,,,30,MAZATROL SmoothG
Mazak,,3AXIS_VMC,,,,,CAT40,,,,30,MAZATROL SmoothG
Mazak,,HMC,,,,,CAT50,,,,,MAZATROL SmoothG
Mazak,,HMC,,,,,CAT40,,,,40,MAZATROL SmoothG
Mazak,,HMC,,,,,CAT40,,,,60,MAZATROL SmoothG
Mazak,,HMC,,,,,CAT50,,,,60,MAZATROL SmoothG
Mazak,,HMC,,,,,CAT50,,,,,MAZATROL SmoothG
Mazak,,HMC,,,,,CAT50,,,,80,MAZATROL SmoothG
Mazak,,HMC,,,,,CAT50,,,,,MAZATROL SmoothG
Mazak,,MULTITASK_VERTICAL,,,,,CAT50,,,,,MAZATROL SmoothG
Mazak,,MULTITASK_VERTICAL,,,,,CAT50,,,,,MAZATROL SmoothG
Mazak,,5AXIS_TRUNNION,,,,,CAT40,,,,30,MAZATROL SmoothG
Mazak,,5AXIS_TRUNNION,,,,,CAT40,,,,30,MAZATROL SmoothG
Mazak,,5AXIS_TRUNNION,,,,,CAT40,,,,30,MAZATROL SmoothG
Mazak,,5AXIS_TRUNNION,,,,,CAT40,,,,40,MAZATROL SmoothG
Mazak,,5AXIS_TRUNNION,,,,,CAT50,,,,60,MAZATROL SmoothG
Mazak,,5AXIS_TRUNNION,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,5AXIS_TRUNNION,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,5AXIS_TRUNNION,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,5AXIS_TRUNNION,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,5AXIS_TRUNNION,,,,,HSK-A63,,,,,MAZATROL SmoothG
Mazak,,5AXIS_MILL_TURN,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,3AXIS_VMC,,,,,CAT40,,,,16,MAZATROL SmoothG
Mazak,,3AXIS_VMC,,,,,CAT40,,,,20,MAZATROL SmoothG
Mazak,,3AXIS_VMC,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,3AXIS_VMC,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,4AXIS_VMC,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,3AXIS_VMC,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,3AXIS_VMC,,,,,CAT40,,,,30,MAZATROL SmoothG
Mazak,,3AXIS_VMC,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,3AXIS_VMC,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,3AXIS_VMC,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,5AXIS_SWIVEL_ROTARY,,,,,CAT50,,,,,MAZATROL SmoothG
Mazak,,5AXIS_SWIVEL_ROTARY,,,,,CAT50,,,,,MAZATROL SmoothG
Mazak,,5AXIS_ADDITIVE,,,,,CAT40,,,,,MAZATROL SmoothG
Mazak,,5AXIS_TRUNNION,,,,,CAT40,,,,,MAZATROL SmoothG
Okuma,,3AXIS_VMC,,,,,BT50,,,,40,OSP-P300MA
Okuma,,3AXIS_VMC,,,,,BT50,,,,40,OSP-P300MA
Okuma,,HMC,,,,,CAT50,,,,40,OSP-P300MA
Okuma,,3AXIS_VMC,,,,,BT50,,,,40,OSP-P300MA
Okuma,,3AXIS_VMC,,,,,CAT40,,,,30,OSP-P300MA
Okuma,,3AXIS_VMC,,,,,CAT40,,,,40,OSP-P300MA
Okuma,,3AXIS_VMC,,,,,CAT40,,,,40,OSP-P300MA
Okuma,,DOUBLE_COLUMN,,,,,CAT50,,,,40,OSP-P300MA
Okuma,,DOUBLE_COLUMN,,,,,CAT50,,,,40,OSP-P300MA
Okuma,,DOUBLE_COLUMN,,,,,CAT50,,,,40,OSP-P300MA
Okuma,,DOUBLE_COLUMN,,,,,CAT50,,,,40,OSP-P300MA
Okuma,,5AXIS_TRUNNION,,,,,HSK-A63,,,,24,OSP-P300MA
Okuma,,3AXIS_VMC,,,,,CAT40,,,,40,OSP-P300MA
Okuma,,3AXIS_VMC,,,,,BT50,,,,40,OSP-P300MA
Okuma,,3AXIS_VMC,,,,,CAT40,,,,40,OSP-P300MA
Okuma,,5AXIS_TRUNNION,,,,,CAT40,,,,40,OSP-P300MA
Okuma,,MULTITASK_VERTICAL,,,,,CAT50,,,,40,OSP-P300MA
Okuma,,MULTITASK_VERTICAL,,,,,CAT50,,,,40,OSP-P300MA
Okuma,,MULTITASK_VERTICAL,,,,,CAT50,,,,40,OSP-P300MA
DMG MORI,,5AXIS_TRUNNION,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
DMG MORI,,5AXIS_MILL_TURN,,,,,HSK-A63,,,,60,SINUMERIK 840D sl
DMG MORI,,5AXIS_TRUNNION,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
Haas,VF-2 WITH TRT100,vertical_machining_center,5_axis_trunnion,8100,11,120,BT40,762,406,508,,NGC
Haas,VF-3 WITH TR160,vertical_machining_center,5_axis_trunnion,8100,11,120,BT40,1016,508,635,,NGC
Haas,VF-4SS WITH TRT210,vertical_machining_center,5_axis_trunnion,12000,11,120,BT40,1270,508,635,,NGC
Haas,UMC-750 NEW DESIGN,vertical_machining_center,5_axis_trunnion,8100,11,120,BT40,762,508,508,,NGC
Haas,UMC-1000-P,vertical_machining_center,5_axis_trunnion_pallet,8100,11,120,BT40,1016,635,635,,NGC
Haas,UMC-1600-H,horizontal_machining_center,5_axis_horizontal,8100,15,200,BT40,1600,1016,914,,NGC
Haas,Mini Mill-EDU WITH HRT160,mini_mill,5_axis_education,6000,,,BT40,406,305,254,10,NGC
